	B19	B18	A4	A29	A10	B13	B17	A14	A30	B12	A12	A16	B21	A19	B24	A5	B14	B26	A3	A27	A9	B28	B4	A22	B2	B1	A31	A17	A20	A28	B10	A26	B11	B29	B9	A18	A15	B8	B3	A24	B25	B15	A6	B27	A1	B20	A7	B16	A13	A8	A32	A25	B6	B7	A2	B23
B14	0.274354803333	0.350127636667	0.371295886667	0.28450767	0.441015260667	0.580583758667	0.591444262667	0.432618331333	0.452428806	0.3478401	0.457537662667	0.36486475	0.359568551333	0.333003804	0.402490378	0.258374159333	0.0	0.249020354	0.349784346	0.311904014667	0.282040335333	0.360878400667	0.490461707333	0.318890624	0.36354849	0.385764157333	0.265664818	0.282703535333	0.337824922	0.298652188	0.335691704	0.344944006	0.30350748	0.357287606667	0.362331812	0.355878666	0.22929042	0.465101399333	0.323847990667	0.409776614667	0.255685339333	0.410125239333	0.386039946667	0.477048240667	0.585783626	0.672542658	0.35509851	0.275312871333	0.310184065333	0.342670474667	0.473580264667	0.282060637333	0.32520086	0.345194472667	0.290066744	0.319004306
B26	0.23244562	0.344863282667	0.253011232667	0.202342792	0.504109669333	0.663881919333	0.595732756667	0.427702917333	0.455136232	0.391396762	0.459281831333	0.259443612	0.357835409333	0.220321722	0.281092418667	0.215938769333	0.249020354	0.0	0.256500746667	0.171799819333	0.238319693333	0.30273914	0.605440384	0.398613855333	0.252211934667	0.219031276667	0.276036225333	0.253700034667	0.208072713333	0.361808091333	0.271832507333	0.210157697333	0.278112615333	0.261645634	0.232738178	0.17587678	0.27432701	0.460544725333	0.259880986	0.461858903333	0.279577494667	0.279222472	0.271486538	0.512104896	0.673297037333	0.732161881333	0.294890248	0.264866613333	0.315008054	0.180298876667	0.481902124	0.264550383333	0.247474292667	0.199965790667	0.288854775333	0.325776374667
A3	0.292892456	0.499481326667	0.395531931333	0.386329217333	0.543218770667	0.783586858	0.620059836667	0.563549538667	0.587974989333	0.481969644667	0.579042214	0.421664413333	0.492210409333	0.363191946	0.208050646667	0.248132512	0.349784346	0.256500746667	0.0	0.375963392667	0.39295354	0.452220082667	0.696148744	0.516445135333	0.405795384	0.242297764667	0.381430674667	0.406383796	0.386133969333	0.488997267333	0.450110042	0.352126434667	0.295929031333	0.434638671333	0.420690944667	0.306336517333	0.436233748667	0.592161870667	0.401637588667	0.61164781	0.407880021333	0.461318613333	0.399286292667	0.609785513333	0.781738192	0.784711470667	0.432619865333	0.433069692	0.426791072667	0.364726259333	0.612950193333	0.389587543333	0.376458168667	0.293533258667	0.441694120667	0.429370446667
A27	0.281902188667	0.320330698	0.193349182667	0.147891146	0.526997714	0.644747509333	0.633990142667	0.418303347333	0.435774867333	0.425292576	0.437122853333	0.237769391333	0.389312307333	0.162400345333	0.378046518	0.282340174	0.311904014667	0.171799819333	0.375963392667	0.0	0.186401355333	0.277919878	0.645208351333	0.41097464	0.175021951333	0.2580688	0.310944707333	0.251464596667	0.094597894	0.361276078667	0.146875877333	0.165545123333	0.297235284	0.147033714667	0.122756882667	0.196843696667	0.23273098	0.444332211333	0.25577626	0.434283050667	0.263984459333	0.235704183333	0.259999989333	0.524585259333	0.682842387333	0.758297816667	0.206413251333	0.192266523333	0.28126764	0.142096646667	0.463276198	0.303688636	0.172562582667	0.146536427333	0.219899548	0.274647398
A9	0.280441678667	0.22009666	0.206886294	0.104590397333	0.421831589333	0.565543967333	0.545112696667	0.297960604	0.326917710667	0.343206202	0.327376436667	0.277830765333	0.317318690667	0.195443867333	0.403880117333	0.327980333333	0.282040335333	0.238319693333	0.39295354	0.186401355333	0.0	0.296087150667	0.606408904	0.332164542	0.250567446667	0.304939592667	0.283705653333	0.19179686	0.172598872	0.313316283333	0.181657840667	0.166778710667	0.228073718	0.182694934	0.185314940667	0.251092590667	0.179732664667	0.333725837333	0.18997233	0.363271848667	0.164855209333	0.289127497333	0.317085631333	0.435360805333	0.629900801333	0.66744242	0.283985301333	0.0963434946667	0.178969784667	0.190486567333	0.358914346667	0.254123428667	0.235730924667	0.259036278667	0.124240495333	0.261218652
B28	0.289987084	0.292210968	0.331694598	0.272254113333	0.570236809333	0.581345992667	0.643258672667	0.402041222667	0.371053354667	0.448959334	0.374861864667	0.174376454667	0.375049493333	0.354162135333	0.464849653333	0.331548326667	0.360878400667	0.30273914	0.452220082667	0.277919878	0.296087150667	0.0	0.608839361333	0.483295694	0.307729505333	0.338223574	0.380041306667	0.241453241333	0.295751845333	0.460635966	0.293063591333	0.272230084	0.422674666	0.314892423333	0.236715071333	0.250551429333	0.244576704667	0.397377617333	0.262368906	0.367022576667	0.360439682667	0.222352408	0.214609972667	0.515844089333	0.650006004	0.729913917333	0.415007761333	0.27945688	0.367279646	0.252503640667	0.346689436	0.338298720667	0.379795082	0.344859245333	0.320455792667	0.397013496
B4	0.589448089333	0.567888385333	0.706963486	0.597119670667	0.421671177333	0.158152391333	0.406689723333	0.434781821333	0.426568204	0.386522154	0.418963688667	0.649712661333	0.419146264	0.662205380667	0.700488332	0.59285066	0.490461707333	0.605440384	0.696148744	0.645208351333	0.606408904	0.608839361333	0.0	0.368942811333	0.700593266667	0.696253395333	0.472609628	0.52569464	0.665095469333	0.376688427333	0.664607183333	0.672412114667	0.606746574	0.683889434	0.673735308667	0.678247030667	0.535936620667	0.426908921333	0.523280091333	0.370782258	0.513653069333	0.699860737333	0.654821868667	0.362442704	0.154474049333	0.460892130667	0.706796793333	0.597144153333	0.520301619333	0.672657744667	0.535267284	0.557249056667	0.669805158	0.669136021333	0.578506768667	0.658846544
A22	0.426313532667	0.351119655333	0.433213701333	0.334617443333	0.315243423333	0.379949045333	0.468924390667	0.280716219333	0.311806642	0.265638109333	0.318069409333	0.478974766	0.277809294	0.381650154667	0.535551175333	0.439104694	0.318890624	0.398613855333	0.516445135333	0.41097464	0.332164542	0.483295694	0.368942811333	0.0	0.461824675333	0.496591049333	0.281851215333	0.348526864667	0.397580827333	0.121572916	0.391923325333	0.414033454	0.355450332	0.425315293333	0.435094772	0.479554447333	0.302094941333	0.324710176667	0.343732645333	0.224776065333	0.246273511333	0.504378755333	0.515268838667	0.346037326	0.396643763333	0.540634686	0.442371583333	0.334194846	0.240330662667	0.427473837333	0.367924864667	0.363910508	0.408665701333	0.440898071333	0.305708138667	0.410985071333
B2	0.333849437333	0.331937106667	0.176688544667	0.215614138667	0.554758370667	0.665497214	0.706833315333	0.449740772	0.438619622667	0.48388711	0.457037143333	0.213893642667	0.413197030667	0.250624062	0.409870525333	0.336048085333	0.36354849	0.252211934667	0.405795384	0.175021951333	0.250567446667	0.307729505333	0.700593266667	0.461824675333	0.0	0.271899144667	0.392081706667	0.278120134667	0.169830817333	0.436899434	0.161389118	0.22093394	0.36127219	0.152045627333	0.145453234	0.214323021333	0.268506036667	0.462847166667	0.31706131	0.451987742	0.309439269333	0.247609521333	0.227701955333	0.560240182667	0.72989836	0.790259490667	0.269461074667	0.211988969333	0.332602719333	0.163316714	0.455173792	0.352541828667	0.270860619333	0.258937464	0.235681164667	0.273424696
B1	0.279956704667	0.374574454	0.319595902667	0.275762314	0.58762441	0.713176208	0.635751185333	0.491353163333	0.485540867333	0.472534472	0.490696904	0.272074527333	0.418973588667	0.265690816	0.239080888667	0.313024807333	0.385764157333	0.219031276667	0.242297764667	0.2580688	0.304939592667	0.338223574	0.696253395333	0.496591049333	0.271899144667	0.0	0.308705526	0.277992416667	0.271718194	0.459392930667	0.303809484	0.232353202	0.311946245333	0.32000752	0.279486925333	0.191632219333	0.315322490667	0.496992246	0.287559681333	0.496734261333	0.353941555333	0.316082806	0.268384605333	0.575294664667	0.739789639333	0.801705800667	0.380308462	0.320265852667	0.381909525333	0.201383905333	0.513454940667	0.323171529333	0.320939464	0.188191031333	0.339001829333	0.395797142
A31	0.327389076	0.290400912	0.410710032667	0.276204804	0.480123565333	0.49211087	0.525473744667	0.366846656	0.367509517333	0.348789071333	0.37343937	0.373237618667	0.314299616	0.325230754	0.386410717333	0.355881982667	0.265664818	0.276036225333	0.381430674667	0.310944707333	0.283705653333	0.380041306667	0.472609628	0.281851215333	0.392081706667	0.308705526	0.0	0.233182146667	0.345115098667	0.255049311333	0.366583712667	0.312888772	0.302696183333	0.391020406	0.355577275333	0.300143629333	0.238080182	0.3817666	0.210786216667	0.298700407333	0.270537352	0.405459762667	0.388434404667	0.448184090667	0.510595598667	0.682854066667	0.460058176	0.304945209333	0.277918220667	0.300916355333	0.3996355	0.303707015333	0.388703239333	0.284716969333	0.295436276667	0.440452584
A17	0.236557332	0.184579694667	0.326908426	0.193502346667	0.417590262667	0.51186949	0.497000900667	0.285992662667	0.277982526667	0.283963835333	0.276232512667	0.223451490667	0.218183796	0.294219154	0.404026489333	0.310723736	0.282703535333	0.253700034667	0.406383796	0.251464596667	0.19179686	0.241453241333	0.52569464	0.348526864667	0.278120134667	0.277992416667	0.233182146667	0.0	0.256041038667	0.315365379333	0.248297482	0.254309098667	0.294770964667	0.282740920667	0.249839556667	0.258460630667	0.194679123333	0.284257450667	0.119488256667	0.300553791333	0.192346892	0.273716048	0.250352262	0.381142414667	0.562553634667	0.616135557333	0.366809041333	0.186015473333	0.221301166	0.246737491333	0.302533090667	0.20256791	0.326605667333	0.306946157333	0.178865587333	0.334720605333
A20	0.290773348	0.30929236	0.170499279333	0.131036430667	0.490128692	0.638519202	0.613601796667	0.404017352	0.423864488	0.415992316667	0.423086038	0.249439834667	0.381655864	0.125234255333	0.397376670667	0.307903902667	0.337824922	0.208072713333	0.386133969333	0.094597894	0.172598872	0.295751845333	0.665095469333	0.397580827333	0.169830817333	0.271718194	0.345115098667	0.256041038667	0.0	0.367987266	0.108406599333	0.157419309333	0.270223911333	0.109683374	0.121111528667	0.217066002667	0.246193031333	0.422735477333	0.261343640667	0.445558715333	0.243357386667	0.234453321333	0.273481698	0.507690597333	0.683276310667	0.737233778667	0.180637488	0.17035936	0.257170219333	0.148476978	0.452377150667	0.289500911333	0.142838395333	0.183080301333	0.179180060667	0.233382501333
A28	0.384558294	0.325888448667	0.426883164	0.313040456667	0.343514515333	0.394450561333	0.485468573333	0.291652807333	0.337289811333	0.2696661	0.32290964	0.455631026	0.284228106	0.360503272	0.491594951333	0.41242033	0.298652188	0.361808091333	0.488997267333	0.361276078667	0.313316283333	0.460635966	0.376688427333	0.121572916	0.436899434	0.459392930667	0.255049311333	0.315365379333	0.367987266	0.0	0.366872044	0.395385200667	0.357145849333	0.389301497333	0.394321152	0.422962248667	0.264433570667	0.342675526	0.311078753333	0.219716358667	0.241507355333	0.461158083333	0.47747304	0.353254839333	0.391042343333	0.570483678	0.413390960667	0.317098734	0.267347534667	0.383412369333	0.385037487333	0.331904073333	0.381134624	0.388611874	0.291767729333	0.410505534
B10	0.286705199333	0.288620244667	0.168293373333	0.165304023333	0.472714683333	0.622259501333	0.638970084	0.382282120667	0.393290923333	0.414632658667	0.404139294667	0.253391139333	0.363858039333	0.169902861333	0.456826086	0.374287238	0.335691704	0.271832507333	0.450110042	0.146875877333	0.181657840667	0.293063591333	0.664607183333	0.391923325333	0.161389118	0.303809484	0.366583712667	0.248297482	0.108406599333	0.366872044	0.0	0.197391587333	0.294868004	0.125237716	0.133904286667	0.26096265	0.248836838667	0.398964816667	0.279950186667	0.421550878667	0.235932647333	0.261379898	0.266487230667	0.485510075333	0.678975806	0.719454696667	0.198414512667	0.152515132667	0.246477896	0.1806803	0.417179343333	0.310669168	0.191263496	0.247622040667	0.157206504	0.207649602
A26	0.286600953333	0.283979753333	0.206173094	0.176122242667	0.505016124	0.630014578	0.587334992667	0.395772449333	0.384897917333	0.43542503	0.391138132667	0.232564772	0.386236381333	0.16181115	0.368995058667	0.32444404	0.344944006	0.210157697333	0.352126434667	0.165545123333	0.166778710667	0.272230084	0.672412114667	0.414033454	0.22093394	0.232353202	0.312888772	0.254309098667	0.157419309333	0.395385200667	0.197391587333	0.0	0.254424447333	0.180900742	0.167344142	0.187733741333	0.211365716667	0.398025436	0.250013196667	0.423520914	0.260093885333	0.240126393333	0.276891155333	0.520288204	0.696323096	0.743258430667	0.288681076	0.172510417333	0.256789746	0.141496036667	0.412477633333	0.31725047	0.202891156667	0.207546114667	0.209120500667	0.269352081333
B11	0.290140087333	0.349345635333	0.331173649333	0.233227751333	0.386767928667	0.661497376	0.470211429333	0.416704991333	0.434867660667	0.341073916	0.433038278667	0.404494532667	0.344331235333	0.212858337333	0.329135615333	0.323988986	0.30350748	0.278112615333	0.295929031333	0.297235284	0.228073718	0.422674666	0.606746574	0.355450332	0.36127219	0.311946245333	0.302696183333	0.294770964667	0.270223911333	0.357145849333	0.294868004	0.254424447333	0.0	0.315642930667	0.324793641333	0.339564366	0.322077256	0.431106922	0.284084433333	0.466569744	0.221901203333	0.418092502	0.425066897333	0.473413962	0.668164648667	0.636631575333	0.328740240667	0.253659800667	0.243873869333	0.307454121333	0.460528615333	0.262586149333	0.237397065333	0.304958494	0.242055784	0.254357775333
B29	0.323812103333	0.308513836667	0.153570464	0.175901768667	0.520075260667	0.644268692	0.660415953333	0.412586798	0.424561958	0.439948688	0.427976801333	0.239513806	0.409961056667	0.143905350667	0.443151366	0.356822486	0.357287606667	0.261645634	0.434638671333	0.147033714667	0.182694934	0.314892423333	0.683889434	0.425315293333	0.152045627333	0.32000752	0.391020406	0.282740920667	0.109683374	0.389301497333	0.125237716	0.180900742	0.315642930667	0.0	0.123908432	0.262720538	0.258589217333	0.434789052667	0.304190174667	0.451362718667	0.258419495333	0.262023535333	0.272934505333	0.527422083333	0.705725138	0.755775746	0.182267464667	0.180739740667	0.277920846667	0.184145764	0.456438446	0.327578973333	0.165326012	0.240050932667	0.183821626667	0.193796368667
B9	0.293668620667	0.280468815333	0.175387425333	0.145600576667	0.534696618	0.645385405333	0.656813221333	0.405755552667	0.394302614	0.443863397333	0.406808788	0.178704515333	0.392993512667	0.198421890667	0.428196060667	0.347105707333	0.362331812	0.232738178	0.420690944667	0.122756882667	0.185314940667	0.236715071333	0.673735308667	0.435094772	0.145453234	0.279486925333	0.355577275333	0.249839556667	0.121111528667	0.394321152	0.133904286667	0.167344142	0.324793641333	0.123908432	0.0	0.185089219333	0.220847292	0.410959688667	0.26093658	0.406289549333	0.281440794	0.193447927333	0.206745374667	0.534368759333	0.707634747333	0.768170415333	0.230026155333	0.183012238	0.2948152	0.127416914667	0.410628900667	0.315176113333	0.222712026667	0.205384163333	0.219793996	0.271430955333
A18	0.262131197333	0.313112429333	0.23612731	0.210796608	0.573471933333	0.668293986	0.635705296667	0.433412561333	0.418685670667	0.45680379	0.425979374	0.193619701333	0.410516577333	0.254228482	0.315765852	0.288530184	0.355878666	0.17587678	0.306336517333	0.196843696667	0.251092590667	0.250551429333	0.678247030667	0.479554447333	0.214323021333	0.191632219333	0.300143629333	0.258460630667	0.217066002667	0.422962248667	0.26096265	0.187733741333	0.339564366	0.262720538	0.185089219333	0.0	0.256447295333	0.446957153333	0.249113259333	0.420549426	0.350463950667	0.208459089333	0.213203860667	0.55442904	0.717426902667	0.790813832	0.344163728	0.261075464	0.360868086	0.137744624667	0.434708617333	0.321060354	0.293846199333	0.212288452	0.298816912667	0.373929541333
